iter	Passed	Remaining
0	288	287739
1	581	290200
2	850	282508
3	1133	282295
4	1422	283065
5	1706	282666
6	1986	281790
7	2261	280454
8	2541	279867
9	2816	278814
10	3077	276721
11	3328	274061
12	3594	272878
13	3874	272885
14	4160	273175
15	4427	272278
16	4697	271610
17	4955	270324
18	5219	269474
19	5471	268126
20	5718	266576
21	5989	266260
22	6270	266347
23	6539	265949
24	6779	264392
25	7026	263219
26	7294	262876
27	7551	262135
28	7820	261836
29	8075	261105
30	8348	260958
31	8649	261646
32	8910	261112
33	9184	260958
34	9426	259905
35	9688	259445
36	9967	259416
37	10255	259622
38	10538	259677
39	10816	259603
40	11091	259443
41	11358	259076
42	11623	258698
43	11901	258586
44	12189	258692
45	12460	258414
46	12737	258268
47	13004	257913
48	13268	257519
49	13533	257142
50	13809	256962
51	14071	256536
52	14344	256304
53	14612	255990
54	14870	255497
55	15115	254804
56	15378	254416
57	15651	254193
58	15917	253870
59	16188	253626
60	16457	253336
61	16731	253138
62	16994	252753
63	17263	252479
64	17524	252085
65	17803	251941
66	18087	251878
67	18341	251387
68	18626	251328
69	18850	250439
70	19109	250040
71	19379	249783
72	19649	249516
73	19910	249149
74	20160	248647
75	20428	248369
76	20709	248245
77	20949	247634
78	21237	247595
79	21479	247018
80	21749	246758
81	22015	246467
82	22276	246112
83	22511	245485
84	22806	245503
85	23043	244903
86	23318	244705
87	23575	244331
88	23835	243979
89	24099	243669
90	24361	243347
91	24617	242967
92	24848	242337
93	25106	241988
94	25379	241776
95	25651	241548
96	25906	241170
97	26190	241064
98	26477	240968
99	26727	240549
100	26972	240085
101	27250	239910
102	27517	239641
103	27781	239344
104	28062	239200
105	28335	238978
106	28599	238687
107	28871	238460
108	29118	238023
109	29394	237828
110	29671	237639
111	29923	237249
112	30201	237064
113	30441	236591
114	30727	236468
115	30981	236102
116	31253	235868
117	31551	235830
118	31799	235423
119	32096	235374
120	32358	235063
121	32637	234883
122	32889	234507
123	33149	234187
124	33434	234044
125	33704	233790
126	33954	233405
127	34244	233291
128	34507	232990
129	34764	232656
130	35011	232253
131	35278	231982
132	35555	231776
133	35790	231299
134	36081	231188
135	36340	230871
136	36593	230511
137	36838	230109
138	37096	229784
139	37354	229462
140	37615	229163
141	37884	228906
142	38140	228574
143	38403	228285
144	38639	227841
145	38894	227508
146	39176	227332
147	39442	227060
148	39704	226770
149	39990	226610
150	40252	226321
151	40511	226011
152	40788	225804
153	41052	225523
154	41316	225243
155	41567	224892
156	41832	224618
157	42096	224338
158	42362	224067
159	42624	223777
160	42885	223485
161	43140	223159
162	43404	222879
163	43678	222655
164	43904	222181
165	44155	221841
166	44440	221669
167	44708	221412
168	44963	221094
169	45229	220824
170	45491	220540
171	45779	220378
172	46054	220155
173	46327	219922
174	46588	219631
175	46838	219291
176	47097	218988
177	47351	218666
178	47622	218425
179	47899	218207
180	48176	217992
181	48441	217721
182	48714	217485
183	48973	217185
184	49235	216902
185	49497	216616
186	49759	216332
187	50041	216137
188	50310	215882
189	50565	215566
190	50837	215328
191	51128	215166
192	51407	214954
193	51662	214640
194	51948	214452
195	52212	214177
196	52478	213908
197	52759	213704
198	52991	213295
199	53269	213077
200	53527	212779
201	53802	212547
202	54057	212236
203	54358	212105
204	54629	211856
205	54899	211601
206	55167	211342
207	55438	211091
208	55712	210855
209	55984	210607
210	56259	210373
211	56525	210105
212	56785	209811
213	57057	209566
214	57302	209219
215	57551	208891
216	57817	208622
217	58075	208326
218	58351	208093
219	58607	207788
220	58875	207528
221	59151	207296
222	59450	207144
223	59721	206890
224	59964	206545
225	60246	206329
226	60507	206045
227	60786	205821
228	61053	205554
229	61333	205335
230	61616	205120
231	61886	204864
232	62162	204630
233	62416	204321
234	62690	204078
235	62956	203809
236	63217	203522
237	63497	203299
238	63744	202969
239	64036	202781
240	64308	202530
241	64570	202248
242	64848	202016
243	65102	201709
244	65383	201487
245	65638	201184
246	65888	200867
247	66212	200772
248	66492	200546
249	66749	200248
250	67005	199948
251	67279	199703
252	67562	199483
253	67840	199247
254	68287	199505
255	68673	199581
256	69078	199709
257	69461	199768
258	69816	199746
259	70204	199812
260	70585	199858
261	70989	199962
262	71412	200118
263	71844	200293
264	72246	200381
265	72669	200524
266	73023	200472
267	73336	200308
268	73657	200161
269	73974	200005
270	74282	199822
271	74600	199666
272	74906	199477
273	75216	199295
274	75557	199196
275	75877	199041
276	76226	198958
277	76550	198811
278	76845	198587
279	77146	198375
280	77436	198137
281	77750	197961
282	78068	197791
283	78372	197587
284	78686	197405
285	78973	197157
286	79286	196973
287	79591	196768
288	79876	196511
289	80188	196324
290	80500	196133
291	80818	195957
292	81106	195708
293	81424	195529
294	81700	195249
295	82005	195039
296	82316	194842
297	82578	194530
298	82879	194308
299	83176	194078
300	83478	193858
301	83798	193679
302	84065	193379
303	84382	193190
304	84714	193037
305	85019	192821
306	85328	192615
307	85638	192408
308	85952	192211
